key;title;year;month;day;journal;issn;volume;issue;pages;authors;url;language;publisher;location;abstract;notes;doi;keywords;pubmed_id;pmc_id;PDF files;[]
rayyan-146535237;Personality Profiles of 263 Occupations;2024;;;Journal of Applied Psychology;;;;;Anni, Kätlin and Vainik, Uku and Mõttus, René;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208259551&doi=10.1037%2fapl0001249&partnerID=40&md5=53968eb3b87800a8ea56a400009117de;;;;While personality trait assessments are widely used in candidate selection, coaching, and occupational counseling, little published research has systematically compared occupations in personality traits. Using a comprehensive personality assessment, we mapped 263 occupations in self-reported Big Five domains and various personality nuances in a sample of 68,540 individuals and cross-validated the findings in informant ratings of 19,989 individuals. Controlling for age and gender, occupations accounted for 2%–7% of Big Five variance in both self-reports and informant reports. Most occupations’ average Big Five levels were intuitive, replicated across rating methods, and were consistent with those previously obtained with a brief assessment in a different sociocultural context. Often, they also tracked the Occupational Information Network database’s work style ratings and clustered along the International Standard Classification of Occupation’s hierarchical framework. Finally, occupations with higher average levels of the personality domains typically linked to better job performance tended to be more homogeneous in these domains, suggesting that jobs with higher performing incumbents are often more selective for personality traits. Several personality nuances had intuitive occupational differences that were larger than those of the Big Five domains (explaining up to 12% variance) and replicated well across rating methods, providing more detailed insights into how job incumbents vary in personality. We provide an interactive application for exploring the results (https://apps.psych.ut.ee/JobProfiles/) and discuss the findings’ theoretical and practical implications. © 2024 The Author(s);"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1037/apl0001249;;;;;
rayyan-146535238;Disentangling the Association Between the Big Five Personality Traits and Student Achievement: Meta-Analytic Evidence on the Role of Domain Specificity and Achievement Measures;2023;;;Educational Psychology Review;;;;;Meyer, Jennifer and Jansen, Thorben and Hübner, Nicolas and Lüdtke, Oliver;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147107556&doi=10.1007%2fs10648-023-09736-2&partnerID=40&md5=acd67ae41dd30f849f63b6ac0882f495;;;;Students’ academic achievement is a central predictor of a long list of important educational outcomes, such as access to higher education and socioeconomic success. Prior studies have extensively focused on identifying variables that are related to academic achievement and an important variable in this context appears to be students’ personality. Notably, although findings from more recent studies suggested that the association between student achievement and personality varies by the subject domain (language vs. STEM) and the type of achievement measure (grades vs. test scores), systematic meta-analytical evidence is still lacking. To address this gap in the educational research literature, we conducted a meta-analysis based on 78 studies, with 1491 effect sizes representing data from 500,218 students and 110 samples from elementary to high school. We used a random-effects model with robust variance estimation to calculate mean effect sizes and standard deviations. We found moderating effects of measure or domain for all five personality traits, with differences in the direction of the effects. Our results highlight the importance of the domain and measure when examining how personality traits relate to academic achievement in school. The combination of subject domain and achievement was also found to be relevant for some of the traits. These findings emphasize that subject domains and types of achievement measures should be explicitly considered when investigating the personality saturation of student achievement. We discuss implications for future research, highlighting that there is no “best” or “more objective” achievement measure but, instead, that achievement measures should be chosen based on the research question of interest. © 2023, The Author(s).;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1007/s10648-023-09736-2;;;;;
rayyan-146535244;Assessment of social and emotional learning for admissions and selection;2022;;;Assessing Competencies for Social and Emotional Learning: Conceptualization, Development, and Applications;;;;;Hessen, Phoebe and Lee, Samuel D. and Kuncel, Nathan R.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134778675&doi=10.4324%2f9781003102243-14&partnerID=40&md5=e4733d3c3481c0763824285cccce537d;;;;;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.4324/9781003102243-14;;;;;
rayyan-146535249;Scrutinizing the value and implementation of volitional personality development at work;2025;;;International Journal of Selection and Assessment;;;;;Hennecke, Marie and Ingold, Pia V.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211188589&doi=10.1111%2fijsa.12508&partnerID=40&md5=90721413a46f1e052ba027d046af7ec2;;;;In this commentary, we discuss Dupré and Wille's proposal (2024) to consider employees' personality change goals in the work context. We compare volitional personality development to skill development and call for more evidence to determine the benefits for both employees and organizations in this context. We also put forward that a clearer understanding is required of how job demands influence personality traits and of how these demands interact with and shape the integration of potential complementary personality development training modules. In closing, we provide avenues for future research. © 2024 The Author(s). International Journal of Selection and Assessment published by John Wiley & Sons Ltd.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1111/ijsa.12508;;;;;
rayyan-146535250;Charting the Future of Assessments;2024;;;ETS Research Report Series;;;;;Kyllonen, Patrick and Sevak, Amit and Ober, Teresa and Choi, Ikkyu and Sparks, Jesse and Fishtein, Daniel;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209732479&doi=10.1002%2fets2.12388&partnerID=40&md5=a20cec04989bed4c231a7bbc38c4c2f5;;;;Assessment refers to a broad array of approaches for measuring or evaluating a person's (or group of persons') skills, behaviors, dispositions, or other attributes. Assessments range from standardized tests used in admissions, employee selection, licensure examinations, and domestic and international large-scale assessments of cognitive and behavioral skills to formative K–12 classroom curricular assessments. The various types of assessments are used for a wide variety of purposes, but they also have many common elements, such as standards for their reliability, validity, and fairness—even classroom assessments have standards. We believe the future of assessment will involve a shift in emphasis on what skills will be measured, innovations in how we go about measuring them, the use of advanced technologies for test operations, and an expansion in the value and kinds of information that test takers will receive from taking the assessment. In this paper, we argue and provide evidence for our belief that the future of assessment contains challenges but is promising. The challenges include risks associated with security and exposure of personal data, test score bias, and inappropriate test uses, all of which may be exacerbated by the growing infiltration of artificial intelligence (AI) into our lives. The promise is increasing opportunities for testing to help individuals achieve their education and career goals and contribute to well-being and overall quality of life. To help achieve this promise we focus on the evidence-based science of measurement in education and workplace learning, a theme throughout this paper. © 2024 Educational Testing Service.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1002/ets2.12388;;;;;
rayyan-146535254;Examining the effect of STEAM Maker Instruction (SMI) on socioemotional skills aptitude in multicultural and ethnically diverse undergraduate settings;2025;;;Cogent Education;;;;;Li, Fujun;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215117620&doi=10.1080%2f2331186X.2025.2452083&partnerID=40&md5=b0babea5ecb715aa6201f0f079d9547c;;;;This study examined the impact of STEAM Maker Instruction (SMI) on the acquisition of a third language, and the development of socioemotional skills among multi-ethnic undergraduates (n = 265). By integrating the 5E instructional model with 36 real-world business projects, this study aimed to bridge the gap between traditional multiethnic classrooms and societal expectations. Analysis of the data indicated that socioemotional skills are essential in managing students’ anxiety and aspirations, which in turn fosters their creativity and academic performance in English for Specific Purposes (ESP). The 5E model significantly improved students’ business knowledge, learning skills, and attitudes, including learning capacity, social interaction, self-regulation, open innovation, team collaboration, and creativity. Social interactions, which rely on self-regulation, self-management, and resilience, were found to be essential for fostering creativity. This study demonstrated that SMI can develop socioemotional skills through engagement with real-world business projects. It offers a pathway for multicultural classroom teaching by incorporating SMI into undergraduate curricula. Nonetheless, this study acknowledges certain limitations, such as the limited sample size and concentration in a specific academic field. Future research should explore the long-term effects of socio-emotional skills and academic outcomes beyond the classroom. This includes examining the relationships among emotional engagement, behavioral engagement, and self-efficacy in the context of career decision-making strategies. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1080/2331186X.2025.2452083;;;;;
rayyan-146535267;To Score or Not to Score? A Simulation Study on the Performance of Test Scores, Plausible Values, and SEM, in Regression With Socio-Emotional Skill or Personality Scales as Predictors;2021;;;Frontiers in Psychology;;;;;Bhaktha, Nivedita and Lechner, Clemens M.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118291287&doi=10.3389%2ffpsyg.2021.679481&partnerID=40&md5=2ec2e4882848f6cd088450cd995bc77e;;;;This article addresses a fundamental question in the study of socio-emotional skills, personality traits, and related constructs: “To score or not to score?” When researchers use test scores or scale scores (i.e., fallible point estimates of a skill or trait) as predictors in multiple regression, measurement error in these scores tends to attenuate regression coefficients for the skill and inflate those of the covariates. Unlike for cognitive assessments, it is not fully established how severe this bias can be in socio-emotional skill assessments, that is, how well test scores recover the true regression coefficients — compared with methods designed to account for measurement error: structural equation modeling (SEM) and plausible values (PV). The different types of scores considered in this study are standardized mean scores (SMS), regression factor scores (RFS), empirical Bayes modal (EBM) score, weighted maximum likelihood estimates (WLE), and expected a posteriori (EAP) estimates. We present a simulation study in which we compared these approaches under conditions typical of socio-emotional skill and personality assessments. We examined the performance of five types of test scores, PV, and SEM with regard to two outcomes: (1) percent bias in regression coefficient of the skill in predicting an outcome;;;;;;;
rayyan-146535270;Toward Theory-Based Volitional Personality Development Interventions at Work;2025;;;International Journal of Selection and Assessment;;;;;Dupré, Sofie and Wille, Bart;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215300830&doi=10.1111%2fijsa.70000&partnerID=40&md5=458ce8e280c514de99427941171955b6;;;;In this article, we respond to four commentaries (Li et al., 2024;;;;;;;
rayyan-146535272;SCALE FOR INͳSERVICE TEACHERS’ ASSESSMENT OF CHILDREN’S AND STUDENTS’ SOCIAL DEVELOPMENT;2024;;;Bulgarian Journal of Psychiatry;;;;;Bakracheva, Margarita and Zamfirov, Milen;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208596258&partnerID=40&md5=e392342c5e7b6b7c95d6c023bb6cd715;;;;Recognition and enhancement of emotional and social development of children and students is part of the teachers’ tasks. The paper outlines the results of the development of a scale for discrimination of the reactions of typically developing children and students, children and students with special educational needs (SEN), chronic illnesses, at risk and gifted by in-service kindergarten and pimary teachers in mainstream seƫting. The responses of 103 teachers who work in groups and classes covering all five categories of children and students indicated that they distinguished between the specific positive and negative reactions, highlighting emotional and social development. The 245 items used demonstrated how children and students were categorised and formed 10 subscales of desired and undesired behaviours. Positive reactions of gifted children were rated highest, followed by typically developing children. The positive reactions of children and students with SEN and at-risk had the lowest scores, where their negative reactions further had the highest scores. The scale can be used as a screening tool as well for identification and prevention not only of externalized behaviors, but also for deepening teachers’ skills in recognizing and taking action on referral, teamwork, and interactions aimed at overall personal development, of which emotional and social competencies are an essential part. © 2024, Bulgarian Psychiatric Association (BPA). All rights reserved.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";;;;;;
rayyan-146535273;Socio-emotional characteristics and education;;;;;;;;;;;;;;;;;;;;;
rayyan-146535274;Assessment of interpersonal and intrapersonal skills;2022;;;International Encyclopedia of Education: Fourth Edition;;;;;Kyllonen, Patrick C.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150563790&doi=10.1016%2fB978-0-12-818630-5.10061-2&partnerID=40&md5=7192016ec49701748bd439e7c700c7da;;;;This entry addresses issues associated with the assessment of interpersonal and intrapersonal skills and reviews key findings. Terminology issues have been a source of confusion within and outside the field. Terminology suggests hundreds of constructs, but several proposed frameworks and crosswalk approaches promise to provide order to enable the steady accumulation of knowledge. The entry lists several key conclusions about interpersonal and intrapersonal assessment and evidence to support those conclusions. These are that (a) interpersonal and intrapersonal skills assessments predict academic outcomes and (b) non-academic outcomes;;;;;;;
rayyan-146535282;SELF-REGULATION: A Character Development Perspective;2024;;;The Routledge International Handbook of Multidisciplinary Perspectives on Character Development, Volume II: Moderators, Threats, and Contexts;;;;;Napolitano, Christopher M. and Sewell, Madison N. and Yoon, Heejun and Elmi, Christopher and Roberts, Brent W.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190218392&doi=10.4324%2f9781003252450-8&partnerID=40&md5=641c7d7bf8f623dfcbf9088ebdcd1ac8;;;;The aim of this chapter is to better integrate the literatures on self-regulation and character. Using modern conceptualizations of both constructs, we argue that the relationship between self-regulation and character is bidirectional. Specifically, we propose two organizing theses regarding this relationship: (1) self-regulation allows a person to live an active, agentic, purpose-driven, character-oriented life;;;;;;;
rayyan-146535283;Self-report and observer ratings: Item types, measurement challenges, and techniques of scoring;2022;;;Assessing Competencies for Social and Emotional Learning: Conceptualization, Development, and Applications;;;;;Primi, Ricardo and Hauck-Filho, Nelson and Valentini, Felipe;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134784706&doi=10.4324%2f9781003102243-9&partnerID=40&md5=3b9a8b2703776503686c60145a39f3f7;;;;;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.4324/9781003102243-9;;;;;
rayyan-146535294;“Feeling Powerful” versus “Desiring Power”: A pervasive and problematic conflation in personality assessment?;2022;;;Journal of Research in Personality;;;;;Murphy, Brett A. and Casto, Kathleen V. and Watts, Ashley L. and Costello, Thomas H. and Jolink, Tatum A. and Verona, Edelyn and Algoe, Sara B.;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139724917&doi=10.1016%2fj.jrp.2022.104305&partnerID=40&md5=8e735bf155d16346973e96645216f6a6;;;;Feeling powerful and desiring power, the “having” versus “wanting” psychological experiences of power, are often conflated within a single measurement dimension (e.g., ascendance, social influence, dominance, agentic extraversion, assertiveness, social boldness). Across six studies, employing multiple modes of assessment, we examine the differential associations of tendencies toward feeling powerful and desiring power with a range of interpersonal functioning variables. Feeling powerful was associated with more harmonious interpersonal tendencies (e.g., agreeableness, empathy), whereas desiring power was associated with less harmonious interpersonal tendencies (e.g., hostility, Machiavellianism). Nomological nets of a wide range of extant assessment measures (e.g., facets of extraversion and psychopathic personality) may be distorted due to the conflation of these two power constructs, with implications for many domains of research. © 2022 Elsevier Inc.;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.1016/j.jrp.2022.104305;;;;;
rayyan-146535299;An integrative perspective on SEL frameworks;2022;;;Assessing Competencies for Social and Emotional Learning: Conceptualization, Development, and Applications;;;;;Casillas, Alex and Roberts, Brent and Jones, Stephanie;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134744749&doi=10.4324%2f9781003102243-3&partnerID=40&md5=6f4502219e8286b7e2a5945175c4e1fc;;;;;"RAYYAN-INCLUSION: {""Tommaso""=>""Maybe""}";10.4324/9781003102243-3;;;;;
