key;language;doi;year;journal;authors;title;abstract;decision
rayyan-508200643;;https://doi.org/10.1037/mot0000427;2026;MOTIVATION SCIENCE;Hennecke, Marie;What Is Self-Control? A Discussion of Unresolved Issues;High self-control is widely valued and linked to health, occupational success, and well-being. Despite its popularity as a research topic, major conceptual ambiguities remain. Such inconsistencies are not trivial: They obscure whether researchers study the same phenomenon, weaken construct validity, and produce conflicting findings. Clarifying what self-control is�and is not�is therefore essential for theoretical progress. Key issues concern whether self-control is best understood as an ability or a personality trait and whether we should conceive of effortless habits as self-control processes. Another key issue is that some conceptualizations of state self-control (momentary attempts to regulate behavior) show little overlap with trait self-control (being generally good at regulating behavior), although they should be conceptually aligned. Further confusion arises around what constitutes self-control conflict: Some definitions include any motivational conflict between goals, others limit it to intertemporal choices where short-term and long-term benefits are opposed, and some require affective components such as desire. This article outlines these definitional problems, identifies clearer conceptual boundaries as a foundation for future theoretical and empirical work, and proposes that self-control deals with �intentionally avoiding or attenuating anticipated or resolving present conflicts between two response options in favor of the response option that benefits a more important goal or standard, even though the competing response option represents a momentarily dominant, affectively charged response tendency.�;exclude
rayyan-508200644;;https://doi.org/10.58459/rptel.2026.21044;2026;RESEARCH AND PRACTICE IN TECHNOLOGY ENHANCED LEARNING;Kano, Taito and Horikoshi, Izumi and Koike, Kento and Ogata, Hiroaki;YINSIGHT: Supporting data-informed competency assessment with customizable indicators in a self-regulated learning context;Recently, educational assessment has shifted focus toward evaluating not only performance but also learners' attitudes and behaviors toward learning, known as competency assessment. Traditional methods, such as self-report sheets and teacher observations, are limited by bias and reliability. With the rise of ICT tools, learning trace data offer a promising solution for assessing learning processes more reliably. However, existing frameworks for competency assessment based on trace data lack flexibility in real-world applications, prompting the need for customization of the framework according to user needs. To address this gap, this study introduces YINSIGHT, a system that allows users to customize competency assessment indicators according to specific contexts and needs. We outlined the framework for creating these indicators, implemented the YINSIGHT system, and evaluated its effectiveness through semi-structured interviews within a scenario of self-regulated learning. The participants were two English and one math teacher from a high school in Japan. The thematic analysis of interviews revealed that while traditional competency assessments rely heavily on performance-based methods, teachers expressed expectations for YINSIGHT's ability to capture self-directed learning activities, particularly in extensive reading contexts. However, significant concerns emerged regarding system usability problems and compatibility with current practices. Teachers also provided constructive suggestions for gradual implementation and system improvements to address these barriers. This study thus contributes to the continuous improvement of learning and teaching from multiple perspectives on the activities that use the system.;exclude
rayyan-508200645;;https://doi.org/10.1016/C2018-0-00084-5;2020;Ethical Dimensions in the Health Professions;Doherty, Regina F.;Ethical Dimensions in the Health Professions, 7th Edition;;exclude
rayyan-508200646;;https://doi.org/10.4018/979-8-3373-6450-6;2026;Impacts of Human-Centered Interactive Technologies on Consumer Engagement;ben Saad, Sihem;Impacts of Human-Centered Interactive Technologies on Consumer Engagement;"The rapid evolution of interactive technologies has transformed how individuals engage with digital environments, services, and experiences. From personalized AI assistants and immersive virtual reality to adaptive learning systems and intelligent healthcare platforms, human-centered technologies are now integral to nearly every sector. These innovations are not only reshaping user experiences but also redefining engagement dynamics, decision-making processes, trust, and satisfaction across consumer, organizational, and social contexts.

Impacts of Human-Centered Interactive Technologies on Consumer Engagement explores how human-centered interactive technologies influence consumer engagement across diverse domains by integrating theory, practice, and innovation. Although significant attention has been paid to technological advancements, there remains a pressing need to understand how these technologies affect users on cognitive, emotional, and behavioral levels, particularly when they are designed with human values, needs, and experiences at their core. This book fills the gap in existing literature by offering a holistic, human-centric perspective on interactive technologies, moving beyond mere technical development to explore how these innovations shape meaningful experiences and relationships. Covering topics such as metaverse creation, investor engagement, and virtual reality, this book is a valuable resource for graduate and doctoral students, researchers, practitioners, technology developers, policymakers, and more.";exclude
rayyan-508200647;;https://doi.org/10.4337/9781035343980;2025;Dark Triad in Leaders;Rego, Arménio and e Cunha, Miguel Pina and Simpson, Ace V. and Clegg, Stewart R.;Dark Triad in Leaders;;exclude
rayyan-508200648;;;2026;Revista Electronica Complutense de Investigacion en Educacion Musical;Martínez-Hernández, Ana and León-Carrascosa, Víctor;Exploración de las capacidades musicales autopercibidas en estudiantes universitarios de educación y ciencias sociales;;exclude
rayyan-508200649;;;;;;Psychometric Analysis of the Empathy Scale in a Sample of University Students from Quito-Ecuador;;exclude
rayyan-508200650;;;2026;Perspectives on Career Transitioning of Students with Autism Spectrum Disorders;Diale, Boitumelo M. and Eseadi, Chiedu;Perspectives on Career Transitioning of Students with Autism Spectrum Disorders;;exclude
rayyan-508200651;;https://doi.org/10.1016/C2020-0-04573-1;2022;Wong's Essentials of Pediatric Nursing: Third South Asian Edition;Sarin, Jyoti and Bhargavi, C.N. and Hockenberry, Marilyn J. and Rodgers, Cheryl C. and Wilson, David;Wong's Essentials of Pediatric Nursing: Third South Asian Edition;;exclude
rayyan-508200652;;;2026;Clinical Empathy: The Heart of Patient Care;Hojat, Mohammadreza;Clinical Empathy: The Heart of Patient Care;;exclude
