key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-674908975,Can We Differentiate Between Self-Reported Skills and Traits? A Possible Refinement of the BESSI and Its Validity in Italian High School Students,2026,,,Assessment,,,,,"Pellegrino, Gerardo and Meneghetti, Chiara and Carretti, Barbara and Feraco, Tommaso",https://www.scopus.com/pages/publications/105046187083?origin=resultslist,,,,"Recent research has emphasized the conceptual distinction between personality traits and social, emotional, and behavioral (SEB) skills. However, their self-report measures show substantial empirical overlap. This study introduces and evaluates the Behavioral, Emotional, and Social Skills Inventory—Dual Rating (BESSI-Dual Rating), a modified version of the original BESSI designed to reduce this overlap. A sample of 598 Italian high school students completed the BESSI-Dual Rating, a Big Five personality inventory, and measures of academic and socio-emotional outcomes. Confirmatory factor analyses supported the structural validity of the BESSI-Dual Rating. Compared to previous BESSI validation studies, BESSI-Dual Rating scores showed improved discriminant and incremental validity relative to the corresponding traits. Furthermore, students perceived skill- and tendency-based items as meaningfully distinct—contrary to findings from prior research using alternative instruments. Parent-reported SEB skills provided additional support for the validity of the skill measures. These findings suggest that minor but targeted refinements in questionnaire design can enhance the empirical differentiation between skills and traits. © The Author(s) 2026",Cited by: 0,10.1177/10731911261469521,"",,
rayyan-674908976,Self-Assessment of Social-Emotional Skills in Primary Students: Psychometric Evaluation of the Digital Screening Instrument GraSEF,2026,,,Child Psychiatry and Human Development,,,,,"Kogler, Andrea and Barth, Maximilian and Prinz, Katharina and Paleczek, Lisa and Gasteiger-Klicpera, Barbara",https://www.scopus.com/pages/publications/105047500456?origin=resultslist,,,,"Early assessment of social-emotional skills is crucial for identifying children at risk and implementing targeted interventions. To address the scarcity of reliable self-reports for young children, we developed the GraSEF, a digital screening instrument for primary students. GraSEF utilizes a situational judgment format to assess internalizing/externalizing behavior, social withdrawal, problem-solving, alongside self-reports for prosocial behavior and emotion regulation strategies. This study examines the instrument’s psychometric properties in a sample of 474 s-graders in Austria (M<sub>age</sub> = 7.66 years, SD = 0.42; 52.1% girls). Divergent and convergent validity were examined via teacher- and self-report scales. Confirmatory factor analyses supported a robust six-factor model with scalar invariance across gender and family language. Results demonstrated acceptable to good internal consistency, and stable test-retest reliability. However, low student-teacher agreement was observed, which warrant further investigation. GraSEF proves to be a reliable instrument for assessing student’s social-emotional skills and behavior problems. © The Author(s) 2026.",Cited by: 0; All Open Access; Hybrid Gold Open Access,10.1007/s10578-026-02078-4,"",,
rayyan-674908977,"A Practical Approach to Trauma: Empowering Interventions, 2ND EDITION",2026,,,"A Practical Approach to Trauma: Empowering Interventions, 2ND EDITION",,,,1 - 356,"Dass-Brailsford, Priscilla",https://www.scopus.com/pages/publications/105046610584?origin=resultslist,,,,"This book is invaluable for clinicians who provide trauma-focused care. Adopting a practitioner’s perspective, the book focuses on practical applications and skill-building. Updated with DSM-5-TR content throughout, the book begins with an overview of the trauma field and historical and intergenerational trauma, and proceeds to review individual, group, and community interventions using cognitive-behavioral, relational, affect regulation, mindfulness, and psychopharmacologic approaches. Besides models of trauma therapy, other topics include the neurobiology of trauma, racial trauma, political trauma, community and school crises, and pandemics and natural disasters. Current theoretical perspectives and methods that provide a paradigm for stage appropriate, culture-based therapy, which can be integrated into existing therapeutic orientations, are outlined. Coverage of a wide range of trauma and inclusion of evidence-based interventions and current theoretical and research literature makes it comprehensive. An ecological perspective helps readers focus on the importance of viewing behavior in the context of social settings and the physical and psychosocial barriers to trauma recovery. The book’s empowering approach shifts attention from deficits and dependence toward resources and resiliency. Both empowerment and ecological theory integrate a critical understanding of the cultural and sociopolitical environment that contributes to trauma, thus restoring clients’ personal control and recovery. The book provides specific information on working with rape survivors, conducting groups for battered women, facilitating community meetings and debriefings, and developing crisis protocols for schools or communities. Client vignettes gleaned from clinical experience provide a hands-on resource for clinicians and graduate students training to become mental health providers. © Oxford University Press 2026.",Cited by: 0,10.1093/oso/9780197666722.001.0001,"",,
rayyan-674908978,Hypotheses and Concepts Advantages and Limitations of a Systemic and Ecological Assessment of Executive Functions in Children and Adolescents,2026,,,Journal of Integrative Neuroscience,,25,6,,"Weisse, Mélissa and Dardier, Virginie and Scotto Di Vettimo, Solenne and Tsimba, Véronique and Troles, Nolwenn and Douguet, Anne-Sophie and Jouan, Virginia and Lacroix, Agnès",https://www.scopus.com/pages/publications/105046146265?origin=resultslist,,,,"Executive functions (EFs) are high-level functions of human cognition and have been studied since the early 20th century. The evolution of theoretical models of EFs highlights the importance of taking into account all systemic influences, whether biological, environmental, or individual, when assessing these functions, particularly in children. This indicates the necessity to propose an integrative perspective for evaluating EFs. To do so, we drew on Bronfenbrenner’s ecosystemic model to underline the importance of an ecological assessment. This article reviews the arguments in favor of the ecological assessment of EFs and acknowledged their limitations. The arguments came from (a) the biological level—recognizing that cerebral architecture, particularly the prefrontal cortex, which underlies EFs and its development with age encourages us to reconsider inter-individual differences, and (b) the environmental level—considering the influence of the family, educational, or even cultural system enables us to contextualize and take a step back from performance. The relationship between cold and hot executive functions was also considered. The development of ecological assessment tools, closer to the strategies and processes spontaneously implemented in everyday life, may lead to a more appropriate assessment of executive functioning, and thus to increasingly tailored support. © 2026 The Author(s). Published by IMR Press.",Cited by: 0; All Open Access; Gold Open Access; Green Open Access,10.31083/JIN47025,"",,
rayyan-674908979,PSYCHOLOGY IN EDUCATION: INDIVIDUAL DIFFERENCES AND LEARNING,2026,,,Psychology in Education: Individual Differences and Learning,,,,1 - 244,"Symes, Wendy and Putwain, David W. and Nicholson, Laura J. and Lichtenfeld, Stephanie and Schmidt, Fabian T. C. and Skipper, Yvonne",https://www.scopus.com/pages/publications/105047661225?origin=resultslist,,,,"This essential textbook provides a comprehensive overview of the psychological factors that influence student learning and achievement. It addresses the fundamental questions of why and how some students outperform others by examining research and theory on key constructs. These include intelligence, personality, motivation and emotions, with a focus on their definitions, measurement and crucial roles in education. Key Features: • Defines key psychological factors that play an important role in student achievement • Evaluates how these psychological factors influence student learning • Investigates factors that can influence the development of these psychological factors, including genetics and experience • Demonstrates how enhancing students’ thoughts and feelings can influence their academic performance • Presents clear summaries of key points and stimulating questions to encourage understanding, as well as supplementary material to support further study Psychology in Education is highly relevant to students of educational psychology with an interest in individual differences in educational contexts. It is particularly relevant for students studying individual differences modules on Psychology of Education programmes. It is also a useful resource for teachers and educational practitioners seeking to understand the psychological dynamics at play in the classroom, enabling them to design lessons that engage and motivate students. © Wendy Symes, David W. Putwain, Laura J. Nicholson and Stephanie Lichtenfeld 2026. All rights reserved.",Cited by: 0,10.4337/9781035326549,"",,
rayyan-674908980,HumanCorps: Redesigning Organisations for the Wisdom Age,2026,,,HumanCorps: Redesigning Organisations for the Wisdom Age,,,,1 - 357,"Lopianowski, Andrew and Pino, Mike",https://www.scopus.com/pages/publications/105047550422?origin=resultslist,,,,"HumanCorps delivers a practical blueprint for leaders to transform their organisations from outdated Industrial-Age models into adaptive, human-centered enterprises that thrive in the AI-powered Wisdom Age. Thought-provoking and timely, the book offers a comprehensive framework that combines compelling case studies, expert interviews, and actionable strategies for organisational transformation. It provides detailed implementation guidance, diagnostic tools, and step-by-step approaches to building resilient businesses that prioritise human potential while leveraging technology. Each chapter includes visual models, executive action checklists, and structured summaries that translate complex concepts into immediately applicable solutions for real-world challenges. Ideal for forward-thinking executives, senior managers, and transformation leaders, this book is tailored for decision-makers in private and public sectors who are navigating systemic upheaval. Whether you’re a CEO, HR director, or strategy leader, you need these insights and tools to guide your organisation into a thriving future. © 2027 Andrew Lopianowski and Mike Pino.",Cited by: 0,10.4324/9781003753346,"",,
rayyan-674908981,"DIGITAL IDENTITIES, AI ETHICS, AND MENTAL HEALTH: Impacts of Technology on Cyber Behaviors and Personality Traits",2026,,,"Digital Identities, Ai Ethics, and Mental Health: Impacts of Technology on Cyber Behaviors and Personality Traits",,,,1 - 384,"Elsayary, Areej",https://www.scopus.com/pages/publications/105046226327?origin=resultslist,,,,"This highly topical book provides an integrated framework for understanding how artificial intelligence, personality traits, gender, and cultural contexts shape youth digital engagement and mental health outcomes. Grounded in cyberpsychology and extensive empirical research, AI ethics, and developmental psychology, this book addresses the urgent need for evidence-based approaches to supporting young people's well-being in an increasingly AI-mediated digital world. It explores the dual nature of digital technology, offering unique opportunities for connection, learning, and self-expression while simultaneously introducing distinctive risks to mental health and well-being. It examines how personality trait models mediate the effects of cyber behavior on well-being and ethical AI engagement. Further topics include an exploration of AI as an active participant in shaping youth behavior and identity, how personality traits significantly predict resilience to online risks and ethical AI engagement, gender differences in digital engagement creating distinct opportunities and vulnerabilities, cultural contexts fundamentally shaping cyber behaviors and ethical perspectives, and that ethical AI design must prioritize youth developmental vulnerabilities. With actionable recommendations to foster digital well-being and responsible AI use, this book is a comprehensive guide for promoting ethical and psychologically healthy digital practices. The unique blend of theoretical insights, empirical data, and practical interventions makes this book an essential resource for students and academics in cyberpsychology, social psychology and identity, AI ethics, cyber behavior studies, and mental health. It will also be of interest to mental health professionals, researchers, policymakers, and educators interested in understanding the impact of cyber behaviors on youth well-being. © 2027 Areej ElSayary. All rights reserved.",Cited by: 0; All Open Access; Gold Open Access,10.4324/9781003657590,"",,
rayyan-674908982,Health Psychology: An Interdisciplinary Approach,2024,,,Health Psychology: An Interdisciplinary Approach,,,,1 - 627,"Ragin, Deborah Fish",https://www.scopus.com/pages/publications/105047548987?origin=resultslist,,,,"Now in its fourth edition, Health Psychology takes a truly interdisciplinary approach to studying health psychology, and offers a comprehensive overview of the subareas within this fascinating subject. Fully revised to reflect current research and studies, and now in full color, the book includes new content on the impact of COVID-19 and greater coverage of health diversity. It unpacks the issue of social inequities in health by addressing how race and social economies have been traditionally confounded. The author achieves this by focusing on five systems that affect individual health outcomes: individual, family/community, social/physical environment, health care systems, and health policy. The social ecological perspective on health psychology creates a depth of understanding of the diverse facets of health, and examines health from a global perspective by exploring the impact of infectious and chronic illnesses both regionally and globally. This new edition has been packed with updated statistics and references, as well as helpful video links infused throughout, to actively engage readers in each topic. While grounded in psychology, the book incorporates perspectives from anthropology, biology, economics, environmental studies, medicine, public health, and sociology, and will be of particular interest to undergraduate students in health psychology and public health and for masters’ students of health psychology. For additional instructor resources, please visit www.routledge.com/9781032292557, which includes lecture slides, an instructor manual, and test bank. © 2025 Deborah Fish Ragin.",Cited by: 1,10.4324/9781003300670,"",,
rayyan-674908983,"20 years of firm growth literature in the international small business journal: Taking stock, looking ahead",2026,,,International Small Business Journal: Researching Entrepreneurship,,,,,"Marconatto, Diego Antonio Bittencourt and Levie, Jonathan",https://www.scopus.com/pages/publications/105046177334?origin=resultslist,,,,"Over the past two decades, the International Small Business Journal (ISBJ) has played a pivotal role in shaping scholarly understanding of small and medium-sized enterprise (SME) growth. This commentary presents a systematic literature review of 92 ISBJ articles published between 2004 and 2023, examining geographic coverage, theoretical foundations, methodological approaches, growth measures, and thematic trends. Our analysis reveals areas of consolidation and knowledge gaps, including limited attention on the regions beyond Western advanced economies, family and mid-sized firms, the entrepreneur’s role, AI and digitalization, the contingent nature of growth, new theoretical perspectives, weak integration of institutional contexts, and the dominance of outcome-centric views of growth. Moving beyond gaps internal to articles in the ISBJ, we consider these patterns in light of the broader entrepreneurship and management literature and outline research avenues accordingly. In doing so, we aim to reinforce the ISBJ’s role in advancing a more integrative and future-oriented agenda for SME growth research. © The Author(s) 2026",Cited by: 0,10.1177/02662426261460887,"",,
rayyan-674908984,"HEALTH PROMOTION AND AGING: Practical Applications for Health Professionals, Ninth Edition",2025,,,"Health Promotion and Aging: Practical Applications for Health Professionals, Ninth Edition",,,,1 - 458,"Albert, Steven M.",https://www.scopus.com/pages/publications/105046398881?origin=resultslist,,,,"This book promotes healthy aging by demonstrating how health practitioners, program developers, and policymakers can prevent or manage disease and make large-scale improvements toward health and wellness in the older adult population. This ninth edition encompasses new research that substantially updates previous recommendations. It provides important new content on aging (the potential for geroscience to change how we age), health (e.g., new therapies to control obesity and cognitive decline), and the aging services infrastructure (how health is actually delivered to older people). The book includes key terms and learning objectives at the start of each chapter; questions to ponder within each chapter; boxes throughout containing information to reflect upon, and new chapter-ending summaries. These summaries do not just list highlights in each chapter, but synthesize an overarching theme or themes of each chapter. The book is practical, including health-promoting tools, resource lists, assessment tools, illustrations, checklists, and tables. © 2026 Springer Publishing Company, LLC.",Cited by: 1,10.1891/9780826183866,"",,
